[2024-11-29 15:44:26,195] [INFO] [real_accelerator.py:203:get_accelerator] Setting ds_accelerator to cuda (auto detect)
[2024-11-29 15:44:26,195] [INFO] [real_accelerator.py:203:get_accelerator] Setting ds_accelerator to cuda (auto detect)
Warning: The default cache directory for DeepSpeed Triton autotune, /home/jingyuah/.triton/autotune, appears to be on an NFS system. While this is generally acceptable, if you experience slowdowns or hanging when DeepSpeed exits, it is recommended to set the TRITON_CACHE_DIR environment variable to a non-NFS path.Warning: The default cache directory for DeepSpeed Triton autotune, /home/jingyuah/.triton/autotune, appears to be on an NFS system. While this is generally acceptable, if you experience slowdowns or hanging when DeepSpeed exits, it is recommended to set the TRITON_CACHE_DIR environment variable to a non-NFS path.

[93m [WARNING] [0m async_io requires the dev libaio .so object and headers but these were not found.
[93m [WARNING] [0m async_io requires the dev libaio .so object and headers but these were not found.
[93m [WARNING] [0m If libaio is already installed (perhaps from source), try setting the CFLAGS and LDFLAGS environment variables to where it can be found.[93m [WARNING] [0m If libaio is already installed (perhaps from source), try setting the CFLAGS and LDFLAGS environment variables to where it can be found.

[93m [WARNING] [0m Please specify the CUTLASS repo directory as environment variable $CUTLASS_PATH[93m [WARNING] [0m Please specify the CUTLASS repo directory as environment variable $CUTLASS_PATH

[93m [WARNING] [0m sparse_attn requires a torch version >= 1.5 and < 2.0 but detected 2.1[93m [WARNING] [0m sparse_attn requires a torch version >= 1.5 and < 2.0 but detected 2.1

[93m [WARNING] [0m using untested triton version (2.1.0), only 1.0.0 is known to be compatible[93m [WARNING] [0m using untested triton version (2.1.0), only 1.0.0 is known to be compatible

[2024-11-29 15:44:28,086] [INFO] [comm.py:637:init_distributed] cdb=None
[2024-11-29 15:44:28,086] [INFO] [comm.py:637:init_distributed] cdb=None
[2024-11-29 15:44:28,086] [INFO] [comm.py:668:init_distributed] Initializing TorchBackend in DeepSpeed with backend nccl
{'loss': 3.3094, 'grad_norm': 6.207696914672852, 'learning_rate': 1.369096853097062e-06, 'epoch': 0.01}
{'loss': 3.2328, 'grad_norm': 4.479305744171143, 'learning_rate': 1.9587347734580185e-06, 'epoch': 0.03}
{'loss': 3.1297, 'grad_norm': 3.0382308959960938, 'learning_rate': 2.3036508458723854e-06, 'epoch': 0.04}
{'loss': 3.0391, 'grad_norm': 3.072432041168213, 'learning_rate': 2.5483726938189745e-06, 'epoch': 0.06}
{'loss': 3.0094, 'grad_norm': 1.9257973432540894, 'learning_rate': 2.738193706194124e-06, 'epoch': 0.07}
{'loss': 3.0109, 'grad_norm': 1.5323987007141113, 'learning_rate': 2.893288766233342e-06, 'epoch': 0.08}
{'loss': 2.9937, 'grad_norm': 1.4884605407714844, 'learning_rate': 3.024419771054202e-06, 'epoch': 0.1}
{'loss': 2.9844, 'grad_norm': 1.4326744079589844, 'learning_rate': 3.138010614179931e-06, 'epoch': 0.11}
{'loss': 2.9797, 'grad_norm': 1.4268534183502197, 'learning_rate': 3.238204838647709e-06, 'epoch': 0.13}
{'loss': 2.95, 'grad_norm': 1.3977035284042358, 'learning_rate': 3.3278316265550805e-06, 'epoch': 0.14}
{'loss': 2.9453, 'grad_norm': 1.3733404874801636, 'learning_rate': 3.4089089183412955e-06, 'epoch': 0.15}
{'loss': 2.9312, 'grad_norm': 1.371503472328186, 'learning_rate': 3.482926686594298e-06, 'epoch': 0.17}
{'loss': 2.9266, 'grad_norm': 1.4015576839447021, 'learning_rate': 3.551016432922859e-06, 'epoch': 0.18}
{'loss': 2.9266, 'grad_norm': 1.331952452659607, 'learning_rate': 3.6140576914151594e-06, 'epoch': 0.2}
{'loss': 2.9469, 'grad_norm': 1.3679661750793457, 'learning_rate': 3.672747698969447e-06, 'epoch': 0.21}
{'loss': 2.9297, 'grad_norm': 1.3459421396255493, 'learning_rate': 3.7276485345408875e-06, 'epoch': 0.22}
{'loss': 2.8984, 'grad_norm': 1.3830454349517822, 'learning_rate': 3.779219942364599e-06, 'epoch': 0.24}
