[2024-11-29 15:42:51,123] [INFO] [real_accelerator.py:203:get_accelerator] Setting ds_accelerator to cuda (auto detect)
[2024-11-29 15:42:51,123] [INFO] [real_accelerator.py:203:get_accelerator] Setting ds_accelerator to cuda (auto detect)
Warning: The default cache directory for DeepSpeed Triton autotune, /home/jingyuah/.triton/autotune, appears to be on an NFS system. While this is generally acceptable, if you experience slowdowns or hanging when DeepSpeed exits, it is recommended to set the TRITON_CACHE_DIR environment variable to a non-NFS path.Warning: The default cache directory for DeepSpeed Triton autotune, /home/jingyuah/.triton/autotune, appears to be on an NFS system. While this is generally acceptable, if you experience slowdowns or hanging when DeepSpeed exits, it is recommended to set the TRITON_CACHE_DIR environment variable to a non-NFS path.

[93m [WARNING] [0m async_io requires the dev libaio .so object and headers but these were not found.
[93m [WARNING] [0m async_io requires the dev libaio .so object and headers but these were not found.
[93m [WARNING] [0m If libaio is already installed (perhaps from source), try setting the CFLAGS and LDFLAGS environment variables to where it can be found.[93m [WARNING] [0m If libaio is already installed (perhaps from source), try setting the CFLAGS and LDFLAGS environment variables to where it can be found.

[93m [WARNING] [0m Please specify the CUTLASS repo directory as environment variable $CUTLASS_PATH[93m [WARNING] [0m Please specify the CUTLASS repo directory as environment variable $CUTLASS_PATH

[93m [WARNING] [0m sparse_attn requires a torch version >= 1.5 and < 2.0 but detected 2.1[93m [WARNING] [0m sparse_attn requires a torch version >= 1.5 and < 2.0 but detected 2.1

[93m [WARNING] [0m using untested triton version (2.1.0), only 1.0.0 is known to be compatible[93m [WARNING] [0m using untested triton version (2.1.0), only 1.0.0 is known to be compatible

[2024-11-29 15:42:52,353] [INFO] [comm.py:637:init_distributed] cdb=None
[2024-11-29 15:42:52,353] [INFO] [comm.py:637:init_distributed] cdb=None
[2024-11-29 15:42:52,353] [INFO] [comm.py:668:init_distributed] Initializing TorchBackend in DeepSpeed with backend nccl
{'loss': 11.0813, 'grad_norm': 7.423279762268066, 'learning_rate': 1.369096853097062e-06, 'epoch': 0.01}
{'loss': 10.9187, 'grad_norm': 7.20720911026001, 'learning_rate': 1.9587347734580185e-06, 'epoch': 0.03}
{'loss': 10.3875, 'grad_norm': 6.328909397125244, 'learning_rate': 2.3036508458723854e-06, 'epoch': 0.04}
{'loss': 9.8938, 'grad_norm': 11.197728157043457, 'learning_rate': 2.5483726938189745e-06, 'epoch': 0.06}
{'loss': 9.45, 'grad_norm': 3.5168490409851074, 'learning_rate': 2.738193706194124e-06, 'epoch': 0.07}
{'loss': 9.3, 'grad_norm': 3.6251273155212402, 'learning_rate': 2.893288766233342e-06, 'epoch': 0.08}
{'loss': 9.0188, 'grad_norm': 3.246514320373535, 'learning_rate': 3.024419771054202e-06, 'epoch': 0.1}
{'loss': 8.875, 'grad_norm': 2.758366584777832, 'learning_rate': 3.138010614179931e-06, 'epoch': 0.11}
{'loss': 8.7625, 'grad_norm': 1.8591512441635132, 'learning_rate': 3.238204838647709e-06, 'epoch': 0.13}
{'loss': 8.625, 'grad_norm': 1.6686073541641235, 'learning_rate': 3.3278316265550805e-06, 'epoch': 0.14}
{'loss': 8.5437, 'grad_norm': 1.441808819770813, 'learning_rate': 3.4089089183412955e-06, 'epoch': 0.15}
{'loss': 8.425, 'grad_norm': 1.292157769203186, 'learning_rate': 3.482926686594298e-06, 'epoch': 0.17}
{'loss': 8.3438, 'grad_norm': 1.2093260288238525, 'learning_rate': 3.551016432922859e-06, 'epoch': 0.18}
{'loss': 8.2812, 'grad_norm': 1.2092866897583008, 'learning_rate': 3.6140576914151594e-06, 'epoch': 0.2}
{'loss': 8.2125, 'grad_norm': 1.1702594757080078, 'learning_rate': 3.672747698969447e-06, 'epoch': 0.21}
{'loss': 8.1125, 'grad_norm': 1.0567450523376465, 'learning_rate': 3.7276485345408875e-06, 'epoch': 0.22}
{'loss': 8.0406, 'grad_norm': 1.1294621229171753, 'learning_rate': 3.779219942364599e-06, 'epoch': 0.24}
{'loss': 7.9813, 'grad_norm': 1.1336573362350464, 'learning_rate': 3.827842759008665e-06, 'epoch': 0.25}
{'loss': 7.9156, 'grad_norm': 1.0580004453659058, 'learning_rate': 3.873835997968027e-06, 'epoch': 0.27}
