[2024-11-30 18:40:03,563] [INFO] [real_accelerator.py:203:get_accelerator] Setting ds_accelerator to cuda (auto detect)
[2024-11-30 18:40:03,563] [INFO] [real_accelerator.py:203:get_accelerator] Setting ds_accelerator to cuda (auto detect)
Warning: The default cache directory for DeepSpeed Triton autotune, /home/jingyuah/.triton/autotune, appears to be on an NFS system. While this is generally acceptable, if you experience slowdowns or hanging when DeepSpeed exits, it is recommended to set the TRITON_CACHE_DIR environment variable to a non-NFS path.Warning: The default cache directory for DeepSpeed Triton autotune, /home/jingyuah/.triton/autotune, appears to be on an NFS system. While this is generally acceptable, if you experience slowdowns or hanging when DeepSpeed exits, it is recommended to set the TRITON_CACHE_DIR environment variable to a non-NFS path.

[93m [WARNING] [0m async_io requires the dev libaio .so object and headers but these were not found.
[93m [WARNING] [0m async_io requires the dev libaio .so object and headers but these were not found.
[93m [WARNING] [0m If libaio is already installed (perhaps from source), try setting the CFLAGS and LDFLAGS environment variables to where it can be found.[93m [WARNING] [0m If libaio is already installed (perhaps from source), try setting the CFLAGS and LDFLAGS environment variables to where it can be found.

[93m [WARNING] [0m Please specify the CUTLASS repo directory as environment variable $CUTLASS_PATH[93m [WARNING] [0m Please specify the CUTLASS repo directory as environment variable $CUTLASS_PATH

[93m [WARNING] [0m sparse_attn requires a torch version >= 1.5 and < 2.0 but detected 2.1[93m [WARNING] [0m sparse_attn requires a torch version >= 1.5 and < 2.0 but detected 2.1

[93m [WARNING] [0m using untested triton version (2.1.0), only 1.0.0 is known to be compatible[93m [WARNING] [0m using untested triton version (2.1.0), only 1.0.0 is known to be compatible

[2024-11-30 18:40:04,932] [INFO] [comm.py:637:init_distributed] cdb=None
[2024-11-30 18:40:04,932] [INFO] [comm.py:637:init_distributed] cdb=None
[2024-11-30 18:40:04,932] [INFO] [comm.py:668:init_distributed] Initializing TorchBackend in DeepSpeed with backend nccl
{'loss': 11.1125, 'grad_norm': 6.329034805297852, 'learning_rate': 1.5291018990888088e-06, 'epoch': 0.03}
{'loss': 10.9688, 'grad_norm': 6.262263774871826, 'learning_rate': 2.187650241931866e-06, 'epoch': 0.05}
{'loss': 10.5062, 'grad_norm': 5.5244269371032715, 'learning_rate': 2.572876327407114e-06, 'epoch': 0.08}
{'loss': 9.9, 'grad_norm': 3.2516698837280273, 'learning_rate': 2.8461985847749224e-06, 'epoch': 0.1}
{'loss': 9.55, 'grad_norm': 2.5761730670928955, 'learning_rate': 3.0582037981776175e-06, 'epoch': 0.13}
{'loss': 9.3438, 'grad_norm': 3.862253427505493, 'learning_rate': 3.2314246702501708e-06, 'epoch': 0.16}
{'loss': 9.125, 'grad_norm': 2.3899948596954346, 'learning_rate': 3.377880830782143e-06, 'epoch': 0.18}
{'loss': 8.9938, 'grad_norm': 1.867971658706665, 'learning_rate': 3.5047469276179797e-06, 'epoch': 0.21}
{'loss': 8.9125, 'grad_norm': 1.3954962491989136, 'learning_rate': 3.6166507557254183e-06, 'epoch': 0.23}
{'loss': 8.8063, 'grad_norm': 1.2320280075073242, 'learning_rate': 3.716752141020675e-06, 'epoch': 0.26}
{'loss': 8.7188, 'grad_norm': 1.4412000179290771, 'learning_rate': 3.8073048587212752e-06, 'epoch': 0.28}
{'loss': 8.6438, 'grad_norm': 1.146405816078186, 'learning_rate': 3.889973013093227e-06, 'epoch': 0.31}
{'loss': 8.5687, 'grad_norm': 1.197271466255188, 'learning_rate': 3.966020343261253e-06, 'epoch': 0.34}
{'loss': 8.4938, 'grad_norm': 1.143760323524475, 'learning_rate': 4.036429173625201e-06, 'epoch': 0.36}
{'loss': 8.4437, 'grad_norm': 1.1255725622177124, 'learning_rate': 4.101978226495922e-06, 'epoch': 0.39}
{'loss': 8.3812, 'grad_norm': 1.0264956951141357, 'learning_rate': 4.163295270461036e-06, 'epoch': 0.41}
{'loss': 8.3, 'grad_norm': 1.1469706296920776, 'learning_rate': 4.2208937796267935e-06, 'epoch': 0.44}
{'loss': 8.275, 'grad_norm': 1.0409619808197021, 'learning_rate': 4.275199098568475e-06, 'epoch': 0.47}
{'loss': 8.2125, 'grad_norm': 0.9519099593162537, 'learning_rate': 4.32656752358451e-06, 'epoch': 0.49}
