[2024-11-15 14:20:22,218] [INFO] [real_accelerator.py:203:get_accelerator] Setting ds_accelerator to cuda (auto detect)
Warning: The default cache directory for DeepSpeed Triton autotune, /home/jingyuah/.triton/autotune, appears to be on an NFS system. While this is generally acceptable, if you experience slowdowns or hanging when DeepSpeed exits, it is recommended to set the TRITON_CACHE_DIR environment variable to a non-NFS path.
[93m [WARNING] [0m async_io requires the dev libaio .so object and headers but these were not found.
[93m [WARNING] [0m If libaio is already installed (perhaps from source), try setting the CFLAGS and LDFLAGS environment variables to where it can be found.
[93m [WARNING] [0m Please specify the CUTLASS repo directory as environment variable $CUTLASS_PATH
[93m [WARNING] [0m sparse_attn requires a torch version >= 1.5 and < 2.0 but detected 2.1
[93m [WARNING] [0m using untested triton version (2.1.0), only 1.0.0 is known to be compatible
[2024-11-15 14:20:23,063] [INFO] [comm.py:637:init_distributed] cdb=None
[2024-11-15 14:20:23,063] [INFO] [comm.py:668:init_distributed] Initializing TorchBackend in DeepSpeed with backend nccl
{'loss': 4.5375, 'grad_norm': 10.85490894317627, 'learning_rate': 1.2907698764494297e-06, 'epoch': 0.01}
{'loss': 4.3063, 'grad_norm': 8.211379051208496, 'learning_rate': 1.846674204103489e-06, 'epoch': 0.02}
{'loss': 4.1813, 'grad_norm': 5.255946636199951, 'learning_rate': 2.1718573897697203e-06, 'epoch': 0.03}
{'loss': 3.975, 'grad_norm': 3.684619903564453, 'learning_rate': 2.402578531757548e-06, 'epoch': 0.04}
{'loss': 3.9156, 'grad_norm': 2.753988027572632, 'learning_rate': 2.5815397528988595e-06, 'epoch': 0.05}
{'loss': 3.7938, 'grad_norm': 2.7467904090881348, 'learning_rate': 2.72776171742378e-06, 'epoch': 0.06}
{'loss': 3.7313, 'grad_norm': 2.4285054206848145, 'learning_rate': 2.8513906268821764e-06, 'epoch': 0.07}
{'loss': 3.6656, 'grad_norm': 2.2311975955963135, 'learning_rate': 2.958482859411607e-06, 'epoch': 0.08}
{'loss': 3.6531, 'grad_norm': 2.1980226039886475, 'learning_rate': 3.052944903090011e-06, 'epoch': 0.09}
{'loss': 3.5844, 'grad_norm': 2.052333354949951, 'learning_rate': 3.137444080552919e-06, 'epoch': 0.1}
{'loss': 3.6187, 'grad_norm': 6.110426425933838, 'learning_rate': 3.2138828844731907e-06, 'epoch': 0.11}
{'loss': 3.5656, 'grad_norm': 1.9115148782730103, 'learning_rate': 3.2836660450778385e-06, 'epoch': 0.12}
{'loss': 3.5375, 'grad_norm': 1.8514134883880615, 'learning_rate': 3.34786032998703e-06, 'epoch': 0.13}
{'loss': 3.5844, 'grad_norm': 1.9761587381362915, 'learning_rate': 3.4072949545362355e-06, 'epoch': 0.14}
{'loss': 3.4844, 'grad_norm': 1.9684665203094482, 'learning_rate': 3.46262726621915e-06, 'epoch': 0.15}
{'loss': 3.575, 'grad_norm': 1.904008388519287, 'learning_rate': 3.5143871870656666e-06, 'epoch': 0.16}
{'loss': 3.5531, 'grad_norm': 1.9543434381484985, 'learning_rate': 3.5630081590256504e-06, 'epoch': 0.17}
{'loss': 3.4531, 'grad_norm': 2.1161751747131348, 'learning_rate': 3.6088492307440703e-06, 'epoch': 0.18}
{'loss': 3.4469, 'grad_norm': 1.8983197212219238, 'learning_rate': 3.6522111647334655e-06, 'epoch': 0.19}
{'loss': 3.5281, 'grad_norm': 1.9172555208206177, 'learning_rate': 3.693348408206978e-06, 'epoch': 0.2}
{'eval_loss': 3.493990421295166, 'eval_runtime': 18.597, 'eval_samples_per_second': 185.03, 'eval_steps_per_second': 1.452, 'epoch': 0.2}
{'loss': 3.5094, 'grad_norm': 2.0067086219787598, 'learning_rate': 3.7324781402024664e-06, 'epoch': 0.21}
{'loss': 3.4406, 'grad_norm': 2.0591373443603516, 'learning_rate': 3.76978721212725e-06, 'epoch': 0.22}
{'loss': 3.4406, 'grad_norm': 1.9104492664337158, 'learning_rate': 3.8054375442327844e-06, 'epoch': 0.23}
{'loss': 3.4531, 'grad_norm': 2.0603063106536865, 'learning_rate': 3.839570372731898e-06, 'epoch': 0.24}
{'loss': 3.4188, 'grad_norm': 1.9236677885055542, 'learning_rate': 3.87230962934829e-06, 'epoch': 0.25}
{'loss': 3.4094, 'grad_norm': 1.9007956981658936, 'learning_rate': 3.903764657641089e-06, 'epoch': 0.25}
{'loss': 3.4188, 'grad_norm': 2.019543170928955, 'learning_rate': 3.9340324164103026e-06, 'epoch': 0.26}
{'loss': 3.4562, 'grad_norm': 2.0345137119293213, 'learning_rate': 3.963199282190295e-06, 'epoch': 0.27}
{'loss': 3.3906, 'grad_norm': 2.0887370109558105, 'learning_rate': 3.99134253530202e-06, 'epoch': 0.28}
{'loss': 3.4219, 'grad_norm': 1.9891958236694336, 'learning_rate': 4.018531593873209e-06, 'epoch': 0.29}
{'loss': 3.3375, 'grad_norm': 2.158780574798584, 'learning_rate': 4.044829045441267e-06, 'epoch': 0.3}
{'loss': 3.3531, 'grad_norm': 2.0003671646118164, 'learning_rate': 4.070291514719726e-06, 'epoch': 0.31}
{'loss': 3.4219, 'grad_norm': 1.948764443397522, 'learning_rate': 4.094970397793481e-06, 'epoch': 0.32}
{'loss': 3.3656, 'grad_norm': 2.1636128425598145, 'learning_rate': 4.1189124866797095e-06, 'epoch': 0.33}
{'loss': 3.3781, 'grad_norm': 1.9445494413375854, 'learning_rate': 4.142160503331606e-06, 'epoch': 0.34}
{'loss': 3.4188, 'grad_norm': 2.0105772018432617, 'learning_rate': 4.16475355839813e-06, 'epoch': 0.35}
{'loss': 3.3906, 'grad_norm': 2.205958604812622, 'learning_rate': 4.1867275471145665e-06, 'epoch': 0.36}
{'loss': 3.3906, 'grad_norm': 2.0074596405029297, 'learning_rate': 4.208115492387525e-06, 'epoch': 0.37}
{'loss': 3.3563, 'grad_norm': 1.962391972541809, 'learning_rate': 4.228947843307321e-06, 'epoch': 0.38}
{'loss': 3.3781, 'grad_norm': 1.9392952919006348, 'learning_rate': 4.249252735861037e-06, 'epoch': 0.39}
{'eval_loss': 3.380408763885498, 'eval_runtime': 18.4771, 'eval_samples_per_second': 186.23, 'eval_steps_per_second': 1.461, 'epoch': 0.39}
{'loss': 3.4094, 'grad_norm': 6.75667142868042, 'learning_rate': 4.269056221448303e-06, 'epoch': 0.4}
{'loss': 3.375, 'grad_norm': 1.8472723960876465, 'learning_rate': 4.288382467856526e-06, 'epoch': 0.41}
{'loss': 3.3281, 'grad_norm': 1.8839387893676758, 'learning_rate': 4.307253936585018e-06, 'epoch': 0.42}
{'loss': 3.3656, 'grad_norm': 1.9781566858291626, 'learning_rate': 4.325691539781309e-06, 'epoch': 0.43}
{'loss': 3.3719, 'grad_norm': 1.9605437517166138, 'learning_rate': 4.3437147795394405e-06, 'epoch': 0.44}
{'loss': 3.325, 'grad_norm': 1.9340662956237793, 'learning_rate': 4.3613418718868435e-06, 'epoch': 0.45}
{'loss': 3.3219, 'grad_norm': 2.1847665309906006, 'learning_rate': 4.378589857436019e-06, 'epoch': 0.46}
{'loss': 3.2687, 'grad_norm': 1.9881401062011719, 'learning_rate': 4.395474700385957e-06, 'epoch': 0.47}
{'loss': 3.3469, 'grad_norm': 2.0451571941375732, 'learning_rate': 4.412011377314923e-06, 'epoch': 0.48}
{'loss': 3.3531, 'grad_norm': 2.0652894973754883, 'learning_rate': 4.428213957002349e-06, 'epoch': 0.49}
{'loss': 3.35, 'grad_norm': 1.9109537601470947, 'learning_rate': 4.444095672345941e-06, 'epoch': 0.5}
