[2024-11-15 16:46:14,382] [INFO] [real_accelerator.py:203:get_accelerator] Setting ds_accelerator to cuda (auto detect)
Warning: The default cache directory for DeepSpeed Triton autotune, /home/jingyuah/.triton/autotune, appears to be on an NFS system. While this is generally acceptable, if you experience slowdowns or hanging when DeepSpeed exits, it is recommended to set the TRITON_CACHE_DIR environment variable to a non-NFS path.
[93m [WARNING] [0m async_io requires the dev libaio .so object and headers but these were not found.
[93m [WARNING] [0m If libaio is already installed (perhaps from source), try setting the CFLAGS and LDFLAGS environment variables to where it can be found.
[93m [WARNING] [0m Please specify the CUTLASS repo directory as environment variable $CUTLASS_PATH
[93m [WARNING] [0m sparse_attn requires a torch version >= 1.5 and < 2.0 but detected 2.1
[93m [WARNING] [0m using untested triton version (2.1.0), only 1.0.0 is known to be compatible
[2024-11-15 16:46:15,294] [INFO] [comm.py:637:init_distributed] cdb=None
[2024-11-15 16:46:15,295] [INFO] [comm.py:668:init_distributed] Initializing TorchBackend in DeepSpeed with backend nccl
{'loss': 5.5938, 'grad_norm': 3376.238525390625, 'learning_rate': 1.2907698764494297e-05, 'epoch': 0.01}
{'loss': 5.3563, 'grad_norm': 2333.791259765625, 'learning_rate': 1.846674204103489e-05, 'epoch': 0.02}
{'loss': 5.3125, 'grad_norm': 3835.765869140625, 'learning_rate': 2.17185738976972e-05, 'epoch': 0.03}
{'loss': 5.175, 'grad_norm': 2581.80712890625, 'learning_rate': 2.402578531757548e-05, 'epoch': 0.04}
{'loss': 5.1625, 'grad_norm': 1805.8902587890625, 'learning_rate': 2.5815397528988595e-05, 'epoch': 0.05}
{'loss': 5.0687, 'grad_norm': 3891.550537109375, 'learning_rate': 2.7277617174237795e-05, 'epoch': 0.06}
{'loss': 5.0875, 'grad_norm': 3747.767822265625, 'learning_rate': 2.851390626882176e-05, 'epoch': 0.07}
{'loss': 5.05, 'grad_norm': 2703.22314453125, 'learning_rate': 2.958482859411607e-05, 'epoch': 0.08}
{'loss': 5.2875, 'grad_norm': 1114.6241455078125, 'learning_rate': 3.052944903090011e-05, 'epoch': 0.09}
{'loss': 5.2875, 'grad_norm': 1737.4288330078125, 'learning_rate': 3.1374440805529185e-05, 'epoch': 0.1}
{'loss': 5.3312, 'grad_norm': 2179.234130859375, 'learning_rate': 3.2138828844731906e-05, 'epoch': 0.11}
{'loss': 5.1875, 'grad_norm': 1626.5299072265625, 'learning_rate': 3.2836660450778386e-05, 'epoch': 0.12}
{'loss': 5.1437, 'grad_norm': 2523.868408203125, 'learning_rate': 3.34786032998703e-05, 'epoch': 0.13}
{'loss': 5.2, 'grad_norm': 9716.111328125, 'learning_rate': 3.407294954536235e-05, 'epoch': 0.14}
{'loss': 5.125, 'grad_norm': 3430.916015625, 'learning_rate': 3.46262726621915e-05, 'epoch': 0.15}
{'loss': 5.4062, 'grad_norm': 2721.606689453125, 'learning_rate': 3.5143871870656664e-05, 'epoch': 0.16}
{'loss': 5.5687, 'grad_norm': 1220.9105224609375, 'learning_rate': 3.5630081590256506e-05, 'epoch': 0.17}
{'loss': 5.5687, 'grad_norm': 614.1905517578125, 'learning_rate': 3.60884923074407e-05, 'epoch': 0.18}
{'loss': 5.45, 'grad_norm': 1030.4124755859375, 'learning_rate': 3.6522111647334654e-05, 'epoch': 0.19}
{'loss': 5.525, 'grad_norm': 17747.669921875, 'learning_rate': 3.693348408206978e-05, 'epoch': 0.2}
{'eval_loss': 5.540865421295166, 'eval_runtime': 5.7097, 'eval_samples_per_second': 602.659, 'eval_steps_per_second': 4.729, 'epoch': 0.2}
{'loss': 5.4875, 'grad_norm': 1584.4488525390625, 'learning_rate': 3.732478140202466e-05, 'epoch': 0.21}
{'loss': 5.275, 'grad_norm': 623.777587890625, 'learning_rate': 3.76978721212725e-05, 'epoch': 0.22}
{'loss': 5.375, 'grad_norm': 875.9135131835938, 'learning_rate': 3.8054375442327847e-05, 'epoch': 0.23}
{'loss': 5.4375, 'grad_norm': 163.99620056152344, 'learning_rate': 3.839570372731898e-05, 'epoch': 0.24}
{'loss': 5.4188, 'grad_norm': 262.8129577636719, 'learning_rate': 3.8723096293482894e-05, 'epoch': 0.25}
{'loss': 5.5312, 'grad_norm': 277.62066650390625, 'learning_rate': 3.9037646576410894e-05, 'epoch': 0.25}
{'loss': 6.1375, 'grad_norm': 422.30389404296875, 'learning_rate': 3.9340324164103024e-05, 'epoch': 0.26}
{'loss': 6.1562, 'grad_norm': 2172.9921875, 'learning_rate': 3.9631992821902944e-05, 'epoch': 0.27}
{'loss': 5.7125, 'grad_norm': 745.0114135742188, 'learning_rate': 3.99134253530202e-05, 'epoch': 0.28}
{'loss': 5.55, 'grad_norm': 886.413818359375, 'learning_rate': 4.0185315938732094e-05, 'epoch': 0.29}
{'loss': 5.5438, 'grad_norm': 1047.5692138671875, 'learning_rate': 4.044829045441267e-05, 'epoch': 0.3}
{'loss': 5.6063, 'grad_norm': 724.4773559570312, 'learning_rate': 4.070291514719726e-05, 'epoch': 0.31}
{'loss': 5.7062, 'grad_norm': 976.830810546875, 'learning_rate': 4.094970397793481e-05, 'epoch': 0.32}
{'loss': 5.6688, 'grad_norm': 636.1675415039062, 'learning_rate': 4.118912486679709e-05, 'epoch': 0.33}
{'loss': 5.5875, 'grad_norm': 553.6338500976562, 'learning_rate': 4.1421605033316066e-05, 'epoch': 0.34}
{'loss': 5.5, 'grad_norm': 1568.8248291015625, 'learning_rate': 4.1647535583981295e-05, 'epoch': 0.35}
{'loss': 5.5375, 'grad_norm': 919.4999389648438, 'learning_rate': 4.186727547114567e-05, 'epoch': 0.36}
{'loss': 5.5187, 'grad_norm': 673.8703002929688, 'learning_rate': 4.208115492387525e-05, 'epoch': 0.37}
{'loss': 5.5062, 'grad_norm': 445.9648742675781, 'learning_rate': 4.22894784330732e-05, 'epoch': 0.38}
{'loss': 5.5563, 'grad_norm': 1139.1505126953125, 'learning_rate': 4.2492527358610366e-05, 'epoch': 0.39}
{'eval_loss': 5.625, 'eval_runtime': 5.7725, 'eval_samples_per_second': 596.101, 'eval_steps_per_second': 4.677, 'epoch': 0.39}
{'loss': 5.5375, 'grad_norm': 1539.5001220703125, 'learning_rate': 4.2690562214483023e-05, 'epoch': 0.4}
{'loss': 5.575, 'grad_norm': 821.478759765625, 'learning_rate': 4.288382467856525e-05, 'epoch': 0.41}
{'loss': 5.4625, 'grad_norm': 567.2218017578125, 'learning_rate': 4.307253936585018e-05, 'epoch': 0.42}
{'loss': 5.45, 'grad_norm': 662.7962036132812, 'learning_rate': 4.325691539781309e-05, 'epoch': 0.43}
{'loss': 5.5375, 'grad_norm': 387.9091796875, 'learning_rate': 4.34371477953944e-05, 'epoch': 0.44}
{'loss': 5.4562, 'grad_norm': 346.3669738769531, 'learning_rate': 4.361341871886844e-05, 'epoch': 0.45}
{'loss': 5.4562, 'grad_norm': 230.7601776123047, 'learning_rate': 4.37858985743602e-05, 'epoch': 0.46}
{'loss': 5.3625, 'grad_norm': 1648.1553955078125, 'learning_rate': 4.395474700385957e-05, 'epoch': 0.47}
{'loss': 5.5625, 'grad_norm': 427.495361328125, 'learning_rate': 4.4120113773149225e-05, 'epoch': 0.48}
{'loss': 5.5438, 'grad_norm': 378.6903076171875, 'learning_rate': 4.428213957002349e-05, 'epoch': 0.49}
{'loss': 5.7125, 'grad_norm': 1682.939453125, 'learning_rate': 4.44409567234594e-05, 'epoch': 0.5}
{'loss': 5.8125, 'grad_norm': 2264.153564453125, 'learning_rate': 4.459668985295148e-05, 'epoch': 0.51}
{'loss': 5.925, 'grad_norm': 3869.421630859375, 'learning_rate': 4.474945645599318e-05, 'epoch': 0.52}
{'loss': 6.0375, 'grad_norm': 9782.279296875, 'learning_rate': 4.489936744064361e-05, 'epoch': 0.53}
{'loss': 5.9938, 'grad_norm': 6075.373046875, 'learning_rate': 4.50465276092262e-05, 'epoch': 0.54}
{'loss': 6.1688, 'grad_norm': 6335.54052734375, 'learning_rate': 4.519103609844353e-05, 'epoch': 0.55}
{'loss': 6.4813, 'grad_norm': 3295.112548828125, 'learning_rate': 4.533298678053757e-05, 'epoch': 0.56}
{'loss': 6.4188, 'grad_norm': 15592.5986328125, 'learning_rate': 4.54724686295608e-05, 'epoch': 0.57}
{'loss': 6.6813, 'grad_norm': 15390.8671875, 'learning_rate': 4.560956605633749e-05, 'epoch': 0.58}
{'loss': 7.95, 'grad_norm': 6290.15673828125, 'learning_rate': 4.574435921527269e-05, 'epoch': 0.59}
{'eval_loss': 8.807692527770996, 'eval_runtime': 5.7263, 'eval_samples_per_second': 600.907, 'eval_steps_per_second': 4.715, 'epoch': 0.59}
{'loss': 8.225, 'grad_norm': 2621.116943359375, 'learning_rate': 4.5876924285801514e-05, 'epoch': 0.6}
{'loss': 7.875, 'grad_norm': 1499.6268310546875, 'learning_rate': 4.6007333730953254e-05, 'epoch': 0.61}
{'loss': 7.9938, 'grad_norm': 3771.24658203125, 'learning_rate': 4.6135656535227576e-05, 'epoch': 0.62}
{'loss': 7.6562, 'grad_norm': 1241.225341796875, 'learning_rate': 4.626195842373785e-05, 'epoch': 0.63}
{'loss': 7.7438, 'grad_norm': 977.0751342773438, 'learning_rate': 4.6386302064364596e-05, 'epoch': 0.64}
{'loss': 7.6063, 'grad_norm': 1803.7281494140625, 'learning_rate': 4.65087472544754e-05, 'epoch': 0.65}
{'loss': 7.6937, 'grad_norm': 211.52313232421875, 'learning_rate': 4.662935109360414e-05, 'epoch': 0.66}
{'loss': 7.6125, 'grad_norm': 2477.162841796875, 'learning_rate': 4.674816814333769e-05, 'epoch': 0.67}
{'loss': 7.6437, 'grad_norm': 401.4145202636719, 'learning_rate': 4.6865250575530756e-05, 'epoch': 0.68}
{'loss': 7.975, 'grad_norm': 102.46051788330078, 'learning_rate': 4.6980648309856646e-05, 'epoch': 0.69}
{'loss': 7.9375, 'grad_norm': 526.1683349609375, 'learning_rate': 4.7094409141601675e-05, 'epoch': 0.7}
{'loss': 7.6937, 'grad_norm': 1419.130859375, 'learning_rate': 4.720657886052189e-05, 'epoch': 0.71}
{'loss': 7.5375, 'grad_norm': 619.048095703125, 'learning_rate': 4.731720136150209e-05, 'epoch': 0.72}
{'loss': 7.175, 'grad_norm': 1162.985595703125, 'learning_rate': 4.742631874768626e-05, 'epoch': 0.73}
{'loss': 6.925, 'grad_norm': 443.0734558105469, 'learning_rate': 4.7533971426685796e-05, 'epoch': 0.74}
{'loss': 6.7438, 'grad_norm': 355.06072998046875, 'learning_rate': 4.764019820041584e-05, 'epoch': 0.75}
{'loss': 6.975, 'grad_norm': 606.5653686523438, 'learning_rate': 4.774503634905937e-05, 'epoch': 0.75}
{'loss': 7.0938, 'grad_norm': 406.6642761230469, 'learning_rate': 4.7848521709613797e-05, 'epoch': 0.76}
{'loss': 7.475, 'grad_norm': 153.08590698242188, 'learning_rate': 4.795068874943425e-05, 'epoch': 0.77}
{'loss': 7.0812, 'grad_norm': 262.50921630859375, 'learning_rate': 4.805157063515096e-05, 'epoch': 0.78}
{'eval_loss': 6.991586685180664, 'eval_runtime': 5.8646, 'eval_samples_per_second': 586.744, 'eval_steps_per_second': 4.604, 'epoch': 0.78}
{'loss': 7.0062, 'grad_norm': 145.82861328125, 'learning_rate': 4.815119929730592e-05, 'epoch': 0.79}
{'loss': 6.7562, 'grad_norm': 465.23431396484375, 'learning_rate': 4.824960549102362e-05, 'epoch': 0.8}
{'loss': 6.6937, 'grad_norm': 91.88868713378906, 'learning_rate': 4.8346818853004576e-05, 'epoch': 0.81}
{'loss': 6.8063, 'grad_norm': 383.0489807128906, 'learning_rate': 4.844286795510585e-05, 'epoch': 0.82}
{'loss': 6.975, 'grad_norm': 123.70769500732422, 'learning_rate': 4.85377803547508e-05, 'epoch': 0.83}
{'loss': 6.7562, 'grad_norm': 119.65388488769531, 'learning_rate': 4.863158264239077e-05, 'epoch': 0.84}
{'loss': 6.4813, 'grad_norm': 295.05169677734375, 'learning_rate': 4.872430048622311e-05, 'epoch': 0.85}
{'loss': 6.3125, 'grad_norm': 112.77996063232422, 'learning_rate': 4.881595867435367e-05, 'epoch': 0.86}
{'loss': 6.2812, 'grad_norm': 368.90191650390625, 'learning_rate': 4.890658115457719e-05, 'epoch': 0.87}
{'loss': 6.2625, 'grad_norm': 158.81240844726562, 'learning_rate': 4.8996191071935e-05, 'epoch': 0.88}
{'loss': 6.25, 'grad_norm': 1100.54833984375, 'learning_rate': 4.908481080419776e-05, 'epoch': 0.89}
{'loss': 6.3125, 'grad_norm': 1111.093994140625, 'learning_rate': 4.917246199540903e-05, 'epoch': 0.9}
{'loss': 6.35, 'grad_norm': 708.5122680664062, 'learning_rate': 4.925916558761557e-05, 'epoch': 0.91}
{'loss': 6.7562, 'grad_norm': 1415.2093505859375, 'learning_rate': 4.9344941850900786e-05, 'epoch': 0.92}
{'loss': 6.875, 'grad_norm': 507.0560302734375, 'learning_rate': 4.942981041182895e-05, 'epoch': 0.93}
{'loss': 6.5125, 'grad_norm': 449.0225830078125, 'learning_rate': 4.951379028040016e-05, 'epoch': 0.94}
{'loss': 6.4313, 'grad_norm': 63.770198822021484, 'learning_rate': 4.959689987560856e-05, 'epoch': 0.95}
{'loss': 6.825, 'grad_norm': 336.2644348144531, 'learning_rate': 4.967915704968981e-05, 'epoch': 0.96}
{'loss': 7.6875, 'grad_norm': 537.364990234375, 'learning_rate': 4.976057911113772e-05, 'epoch': 0.97}
{'loss': 7.8812, 'grad_norm': 570.19384765625, 'learning_rate': 4.9841182846564074e-05, 'epoch': 0.98}
{'eval_loss': 7.646634578704834, 'eval_runtime': 5.7171, 'eval_samples_per_second': 601.883, 'eval_steps_per_second': 4.723, 'epoch': 0.98}
{'loss': 7.4437, 'grad_norm': 322.7532653808594, 'learning_rate': 4.992098454147103e-05, 'epoch': 0.99}
{'loss': 7.2188, 'grad_norm': 335.142333984375, 'learning_rate': 4.9999999999999996e-05, 'epoch': 1.0}
{'loss': 7.2, 'grad_norm': 547.7100219726562, 'learning_rate': 4.9956427015250546e-05, 'epoch': 1.01}
{'loss': 7.2313, 'grad_norm': 785.5013427734375, 'learning_rate': 4.990196078431373e-05, 'epoch': 1.02}
{'loss': 7.5375, 'grad_norm': 231.25108337402344, 'learning_rate': 4.984749455337691e-05, 'epoch': 1.03}
{'loss': 6.7938, 'grad_norm': 86.28036499023438, 'learning_rate': 4.9793028322440085e-05, 'epoch': 1.04}
{'loss': 6.6125, 'grad_norm': 42.598873138427734, 'learning_rate': 4.973856209150327e-05, 'epoch': 1.05}
{'loss': 6.5687, 'grad_norm': 46.801841735839844, 'learning_rate': 4.968409586056645e-05, 'epoch': 1.06}
{'loss': 6.5375, 'grad_norm': 143.43592834472656, 'learning_rate': 4.962962962962963e-05, 'epoch': 1.07}
{'loss': 7.0312, 'grad_norm': 200.88963317871094, 'learning_rate': 4.9575163398692816e-05, 'epoch': 1.08}
{'loss': 6.9375, 'grad_norm': 43.272525787353516, 'learning_rate': 4.9520697167755993e-05, 'epoch': 1.09}
{'loss': 6.55, 'grad_norm': 48.91203308105469, 'learning_rate': 4.946623093681918e-05, 'epoch': 1.1}
{'loss': 6.4125, 'grad_norm': 96.96870422363281, 'learning_rate': 4.9411764705882355e-05, 'epoch': 1.11}
{'loss': 6.2687, 'grad_norm': 396.4935607910156, 'learning_rate': 4.935729847494553e-05, 'epoch': 1.12}
{'loss': 6.375, 'grad_norm': 121.10400390625, 'learning_rate': 4.930283224400872e-05, 'epoch': 1.13}
{'loss': 6.3125, 'grad_norm': 131.3941650390625, 'learning_rate': 4.92483660130719e-05, 'epoch': 1.14}
{'loss': 6.275, 'grad_norm': 1552.46533203125, 'learning_rate': 4.919389978213508e-05, 'epoch': 1.15}
{'loss': 6.525, 'grad_norm': 1106.1669921875, 'learning_rate': 4.9139433551198264e-05, 'epoch': 1.16}
{'loss': 6.4625, 'grad_norm': 814.3887939453125, 'learning_rate': 4.908496732026144e-05, 'epoch': 1.17}
{'loss': 6.4875, 'grad_norm': 2400.4443359375, 'learning_rate': 4.903050108932462e-05, 'epoch': 1.18}
