[2024-11-14 22:48:44,020] [INFO] [real_accelerator.py:203:get_accelerator] Setting ds_accelerator to cuda (auto detect)
[2024-11-14 22:48:44,098] [INFO] [real_accelerator.py:203:get_accelerator] Setting ds_accelerator to cuda (auto detect)
[2024-11-14 22:48:44,098] [INFO] [real_accelerator.py:203:get_accelerator] Setting ds_accelerator to cuda (auto detect)
[2024-11-14 22:48:44,101] [INFO] [real_accelerator.py:203:get_accelerator] Setting ds_accelerator to cuda (auto detect)
Warning: The default cache directory for DeepSpeed Triton autotune, /home/jingyuah/.triton/autotune, appears to be on an NFS system. While this is generally acceptable, if you experience slowdowns or hanging when DeepSpeed exits, it is recommended to set the TRITON_CACHE_DIR environment variable to a non-NFS path.Warning: The default cache directory for DeepSpeed Triton autotune, /home/jingyuah/.triton/autotune, appears to be on an NFS system. While this is generally acceptable, if you experience slowdowns or hanging when DeepSpeed exits, it is recommended to set the TRITON_CACHE_DIR environment variable to a non-NFS path.

Warning: The default cache directory for DeepSpeed Triton autotune, /home/jingyuah/.triton/autotune, appears to be on an NFS system. While this is generally acceptable, if you experience slowdowns or hanging when DeepSpeed exits, it is recommended to set the TRITON_CACHE_DIR environment variable to a non-NFS path.
Warning: The default cache directory for DeepSpeed Triton autotune, /home/jingyuah/.triton/autotune, appears to be on an NFS system. While this is generally acceptable, if you experience slowdowns or hanging when DeepSpeed exits, it is recommended to set the TRITON_CACHE_DIR environment variable to a non-NFS path.
[93m [WARNING] [0m async_io requires the dev libaio .so object and headers but these were not found.
[93m [WARNING] [0m async_io requires the dev libaio .so object and headers but these were not found.
[93m [WARNING] [0m async_io requires the dev libaio .so object and headers but these were not found.
[93m [WARNING] [0m async_io requires the dev libaio .so object and headers but these were not found.
[93m [WARNING] [0m If libaio is already installed (perhaps from source), try setting the CFLAGS and LDFLAGS environment variables to where it can be found.
[93m [WARNING] [0m Please specify the CUTLASS repo directory as environment variable $CUTLASS_PATH
[93m [WARNING] [0m If libaio is already installed (perhaps from source), try setting the CFLAGS and LDFLAGS environment variables to where it can be found.
[93m [WARNING] [0m Please specify the CUTLASS repo directory as environment variable $CUTLASS_PATH
[93m [WARNING] [0m If libaio is already installed (perhaps from source), try setting the CFLAGS and LDFLAGS environment variables to where it can be found.
[93m [WARNING] [0m Please specify the CUTLASS repo directory as environment variable $CUTLASS_PATH
[93m [WARNING] [0m If libaio is already installed (perhaps from source), try setting the CFLAGS and LDFLAGS environment variables to where it can be found.
[93m [WARNING] [0m Please specify the CUTLASS repo directory as environment variable $CUTLASS_PATH
[93m [WARNING] [0m sparse_attn requires a torch version >= 1.5 and < 2.0 but detected 2.1
[93m [WARNING] [0m using untested triton version (2.1.0), only 1.0.0 is known to be compatible
[93m [WARNING] [0m sparse_attn requires a torch version >= 1.5 and < 2.0 but detected 2.1
[93m [WARNING] [0m using untested triton version (2.1.0), only 1.0.0 is known to be compatible
[93m [WARNING] [0m sparse_attn requires a torch version >= 1.5 and < 2.0 but detected 2.1
[93m [WARNING] [0m using untested triton version (2.1.0), only 1.0.0 is known to be compatible
[93m [WARNING] [0m sparse_attn requires a torch version >= 1.5 and < 2.0 but detected 2.1
[93m [WARNING] [0m using untested triton version (2.1.0), only 1.0.0 is known to be compatible
[2024-11-14 22:49:40,536] [INFO] [comm.py:637:init_distributed] cdb=None
[2024-11-14 22:49:40,618] [INFO] [comm.py:637:init_distributed] cdb=None
[2024-11-14 22:49:40,618] [INFO] [comm.py:668:init_distributed] Initializing TorchBackend in DeepSpeed with backend nccl
[2024-11-14 22:49:40,622] [INFO] [comm.py:637:init_distributed] cdb=None
[2024-11-14 22:49:40,624] [INFO] [comm.py:637:init_distributed] cdb=None
{'loss': 4.5781, 'grad_norm': 11.986143112182617, 'learning_rate': 1.369096853097062e-06, 'epoch': 0.01}
{'loss': 4.4102, 'grad_norm': 8.517788887023926, 'learning_rate': 1.9587347734580185e-06, 'epoch': 0.03}
{'loss': 4.1844, 'grad_norm': 5.484652519226074, 'learning_rate': 2.3036508458723854e-06, 'epoch': 0.04}
{'loss': 4.0062, 'grad_norm': 3.450186252593994, 'learning_rate': 2.5483726938189745e-06, 'epoch': 0.06}
{'loss': 3.8078, 'grad_norm': 2.9605817794799805, 'learning_rate': 2.738193706194124e-06, 'epoch': 0.07}
{'loss': 3.7789, 'grad_norm': 2.2433440685272217, 'learning_rate': 2.893288766233342e-06, 'epoch': 0.08}
{'loss': 3.6633, 'grad_norm': 1.9864130020141602, 'learning_rate': 3.024419771054202e-06, 'epoch': 0.1}
{'loss': 3.6031, 'grad_norm': 2.0083770751953125, 'learning_rate': 3.138010614179931e-06, 'epoch': 0.11}
{'loss': 3.5344, 'grad_norm': 1.6423394680023193, 'learning_rate': 3.238204838647709e-06, 'epoch': 0.13}
{'loss': 3.5391, 'grad_norm': 1.5708874464035034, 'learning_rate': 3.3278316265550805e-06, 'epoch': 0.14}
{'loss': 3.4937, 'grad_norm': 1.591360092163086, 'learning_rate': 3.4089089183412955e-06, 'epoch': 0.15}
{'loss': 3.4188, 'grad_norm': 3.0098886489868164, 'learning_rate': 3.482926686594298e-06, 'epoch': 0.17}
{'loss': 3.4805, 'grad_norm': 1.4901707172393799, 'learning_rate': 3.551016432922859e-06, 'epoch': 0.18}
{'loss': 3.4328, 'grad_norm': 1.631142258644104, 'learning_rate': 3.6140576914151594e-06, 'epoch': 0.2}
{'loss': 3.3648, 'grad_norm': 1.5310124158859253, 'learning_rate': 3.672747698969447e-06, 'epoch': 0.21}
{'loss': 3.4242, 'grad_norm': 1.4938364028930664, 'learning_rate': 3.7276485345408875e-06, 'epoch': 0.22}
{'loss': 3.3727, 'grad_norm': 1.5870177745819092, 'learning_rate': 3.779219942364599e-06, 'epoch': 0.24}
{'loss': 3.3563, 'grad_norm': 1.534543752670288, 'learning_rate': 3.827842759008665e-06, 'epoch': 0.25}
{'loss': 3.3734, 'grad_norm': 1.591850996017456, 'learning_rate': 3.873835997968027e-06, 'epoch': 0.27}
{'loss': 3.3906, 'grad_norm': 1.6153627634048462, 'learning_rate': 3.917469546916037e-06, 'epoch': 0.28}
{'eval_loss': 3.346137046813965, 'eval_runtime': 8.9527, 'eval_samples_per_second': 537.827, 'eval_steps_per_second': 2.122, 'epoch': 0.28}
{'loss': 3.3867, 'grad_norm': 1.6472493410110474, 'learning_rate': 3.958973763829526e-06, 'epoch': 0.29}
{'loss': 3.3383, 'grad_norm': 1.9489126205444336, 'learning_rate': 3.998546838702252e-06, 'epoch': 0.31}
{'loss': 3.2719, 'grad_norm': 3.297192096710205, 'learning_rate': 4.036360517490459e-06, 'epoch': 0.32}
{'loss': 3.2742, 'grad_norm': 1.5763341188430786, 'learning_rate': 4.0725646069552544e-06, 'epoch': 0.34}
{'loss': 3.3422, 'grad_norm': 1.5159063339233398, 'learning_rate': 4.107290559291186e-06, 'epoch': 0.35}
{'loss': 3.275, 'grad_norm': 1.578656554222107, 'learning_rate': 4.140654353283815e-06, 'epoch': 0.36}
{'loss': 3.2828, 'grad_norm': 1.6286299228668213, 'learning_rate': 4.172758831423032e-06, 'epoch': 0.38}
{'loss': 3.3188, 'grad_norm': 1.5296846628189087, 'learning_rate': 4.2036956117761155e-06, 'epoch': 0.39}
{'loss': 3.2891, 'grad_norm': 1.5873403549194336, 'learning_rate': 4.233546664217133e-06, 'epoch': 0.41}
{'loss': 3.2492, 'grad_norm': 1.6578456163406372, 'learning_rate': 4.2623856193304035e-06, 'epoch': 0.42}
{'loss': 3.2609, 'grad_norm': 1.634413719177246, 'learning_rate': 4.290278862613503e-06, 'epoch': 0.43}
