[2024-11-23 17:16:47,053] [INFO] [real_accelerator.py:203:get_accelerator] Setting ds_accelerator to cuda (auto detect)
[2024-11-23 17:16:47,113] [INFO] [real_accelerator.py:203:get_accelerator] Setting ds_accelerator to cuda (auto detect)
[2024-11-23 17:16:47,140] [INFO] [real_accelerator.py:203:get_accelerator] Setting ds_accelerator to cuda (auto detect)
[2024-11-23 17:16:47,146] [INFO] [real_accelerator.py:203:get_accelerator] Setting ds_accelerator to cuda (auto detect)
Warning: The default cache directory for DeepSpeed Triton autotune, /home/jingyuah/.triton/autotune, appears to be on an NFS system. While this is generally acceptable, if you experience slowdowns or hanging when DeepSpeed exits, it is recommended to set the TRITON_CACHE_DIR environment variable to a non-NFS path.
Warning: The default cache directory for DeepSpeed Triton autotune, /home/jingyuah/.triton/autotune, appears to be on an NFS system. While this is generally acceptable, if you experience slowdowns or hanging when DeepSpeed exits, it is recommended to set the TRITON_CACHE_DIR environment variable to a non-NFS path.
Warning: The default cache directory for DeepSpeed Triton autotune, /home/jingyuah/.triton/autotune, appears to be on an NFS system. While this is generally acceptable, if you experience slowdowns or hanging when DeepSpeed exits, it is recommended to set the TRITON_CACHE_DIR environment variable to a non-NFS path.
Warning: The default cache directory for DeepSpeed Triton autotune, /home/jingyuah/.triton/autotune, appears to be on an NFS system. While this is generally acceptable, if you experience slowdowns or hanging when DeepSpeed exits, it is recommended to set the TRITON_CACHE_DIR environment variable to a non-NFS path.
[93m [WARNING] [0m async_io requires the dev libaio .so object and headers but these were not found.
[93m [WARNING] [0m async_io requires the dev libaio .so object and headers but these were not found.
[93m [WARNING] [0m async_io requires the dev libaio .so object and headers but these were not found.
[93m [WARNING] [0m async_io requires the dev libaio .so object and headers but these were not found.
[93m [WARNING] [0m If libaio is already installed (perhaps from source), try setting the CFLAGS and LDFLAGS environment variables to where it can be found.
[93m [WARNING] [0m Please specify the CUTLASS repo directory as environment variable $CUTLASS_PATH
[93m [WARNING] [0m If libaio is already installed (perhaps from source), try setting the CFLAGS and LDFLAGS environment variables to where it can be found.
[93m [WARNING] [0m Please specify the CUTLASS repo directory as environment variable $CUTLASS_PATH
[93m [WARNING] [0m If libaio is already installed (perhaps from source), try setting the CFLAGS and LDFLAGS environment variables to where it can be found.
[93m [WARNING] [0m Please specify the CUTLASS repo directory as environment variable $CUTLASS_PATH
[93m [WARNING] [0m If libaio is already installed (perhaps from source), try setting the CFLAGS and LDFLAGS environment variables to where it can be found.
[93m [WARNING] [0m Please specify the CUTLASS repo directory as environment variable $CUTLASS_PATH
[93m [WARNING] [0m sparse_attn requires a torch version >= 1.5 and < 2.0 but detected 2.1
[93m [WARNING] [0m using untested triton version (2.1.0), only 1.0.0 is known to be compatible
[93m [WARNING] [0m sparse_attn requires a torch version >= 1.5 and < 2.0 but detected 2.1
[93m [WARNING] [0m using untested triton version (2.1.0), only 1.0.0 is known to be compatible
[93m [WARNING] [0m sparse_attn requires a torch version >= 1.5 and < 2.0 but detected 2.1
[93m [WARNING] [0m using untested triton version (2.1.0), only 1.0.0 is known to be compatible
[93m [WARNING] [0m sparse_attn requires a torch version >= 1.5 and < 2.0 but detected 2.1
[93m [WARNING] [0m using untested triton version (2.1.0), only 1.0.0 is known to be compatible
[2024-11-23 17:16:49,210] [INFO] [comm.py:637:init_distributed] cdb=None
[2024-11-23 17:16:49,210] [INFO] [comm.py:637:init_distributed] cdb=None
[2024-11-23 17:16:49,264] [INFO] [comm.py:637:init_distributed] cdb=None
[2024-11-23 17:16:49,266] [INFO] [comm.py:637:init_distributed] cdb=None
[2024-11-23 17:16:49,266] [INFO] [comm.py:668:init_distributed] Initializing TorchBackend in DeepSpeed with backend nccl
blank items: 1
blank items: 1
blank items: 1
blank items: 1
using rand negatives...
using rand negatives...
using rand negatives...
using rand negatives...
{'eval_loss': 5.754106521606445, 'eval_runtime': 212.4106, 'eval_samples_per_second': 47.079, 'eval_steps_per_second': 0.372, 'epoch': 0}
{'loss': 5.7531, 'grad_norm': 1.569926381111145, 'learning_rate': 3.187096642208417e-07, 'epoch': 0.02}
{'loss': 5.7516, 'grad_norm': 2.2434844970703125, 'learning_rate': 4.559704454322006e-07, 'epoch': 0.03}
{'loss': 5.7469, 'grad_norm': 1.7062444686889648, 'learning_rate': 5.362628552605366e-07, 'epoch': 0.05}
{'loss': 5.7516, 'grad_norm': 1.8235989809036255, 'learning_rate': 5.932312266435595e-07, 'epoch': 0.06}
{'loss': 5.75, 'grad_norm': 1.856199860572815, 'learning_rate': 6.374193284416834e-07, 'epoch': 0.08}
{'loss': 5.75, 'grad_norm': 1.875138759613037, 'learning_rate': 6.735236364718956e-07, 'epoch': 0.1}
{'loss': 5.7406, 'grad_norm': 2.3227384090423584, 'learning_rate': 7.04049393960022e-07, 'epoch': 0.11}
{'loss': 5.7453, 'grad_norm': 1.628726840019226, 'learning_rate': 7.304920078549185e-07, 'epoch': 0.13}
{'loss': 5.7422, 'grad_norm': 2.674973964691162, 'learning_rate': 7.538160463002315e-07, 'epoch': 0.14}
{'loss': 5.7359, 'grad_norm': 2.3048555850982666, 'learning_rate': 7.746801096530423e-07, 'epoch': 0.16}
{'loss': 5.7313, 'grad_norm': 2.7848587036132812, 'learning_rate': 7.93553950742273e-07, 'epoch': 0.18}
{'loss': 5.725, 'grad_norm': 4.826221942901611, 'learning_rate': 8.107844176832544e-07, 'epoch': 0.19}
{'loss': 5.7172, 'grad_norm': 3.7439863681793213, 'learning_rate': 8.266349107584287e-07, 'epoch': 0.21}
{'loss': 5.6969, 'grad_norm': 4.007608890533447, 'learning_rate': 8.413101751713811e-07, 'epoch': 0.22}
{'loss': 5.6875, 'grad_norm': 4.239418029785156, 'learning_rate': 8.549725194813783e-07, 'epoch': 0.24}
{'loss': 5.6813, 'grad_norm': 5.994711399078369, 'learning_rate': 8.677527890662774e-07, 'epoch': 0.26}
{'loss': 5.6688, 'grad_norm': 4.944703102111816, 'learning_rate': 8.797580069832641e-07, 'epoch': 0.27}
{'loss': 5.65, 'grad_norm': 8.578451156616211, 'learning_rate': 8.910768275115906e-07, 'epoch': 0.29}
{'loss': 5.6703, 'grad_norm': 6.312089443206787, 'learning_rate': 9.017835132453337e-07, 'epoch': 0.3}
{'loss': 5.6594, 'grad_norm': 5.980119228363037, 'learning_rate': 9.119408908644012e-07, 'epoch': 0.32}
{'loss': 5.6422, 'grad_norm': 5.630588054656982, 'learning_rate': 9.21602584999717e-07, 'epoch': 0.34}
{'loss': 5.6469, 'grad_norm': 5.4055633544921875, 'learning_rate': 9.308147319536321e-07, 'epoch': 0.35}
{'loss': 5.6375, 'grad_norm': 7.067696571350098, 'learning_rate': 9.396173121672102e-07, 'epoch': 0.37}
{'loss': 5.6328, 'grad_norm': 9.12752628326416, 'learning_rate': 9.480451988946133e-07, 'epoch': 0.38}
{'loss': 5.6281, 'grad_norm': 6.823548316955566, 'learning_rate': 9.561289926625252e-07, 'epoch': 0.4}
{'loss': 5.6219, 'grad_norm': 5.687833786010742, 'learning_rate': 9.638956919697876e-07, 'epoch': 0.42}
{'loss': 5.6328, 'grad_norm': 10.107540130615234, 'learning_rate': 9.713692373399264e-07, 'epoch': 0.43}
{'loss': 5.6312, 'grad_norm': 11.97119140625, 'learning_rate': 9.785709563827398e-07, 'epoch': 0.45}
{'loss': 5.6422, 'grad_norm': 5.443903923034668, 'learning_rate': 9.85519930721987e-07, 'epoch': 0.46}
{'loss': 5.6094, 'grad_norm': 7.623244285583496, 'learning_rate': 9.92233300692737e-07, 'epoch': 0.48}
{'loss': 5.6125, 'grad_norm': 6.812678813934326, 'learning_rate': 9.987265200589763e-07, 'epoch': 0.5}
{'loss': 5.6312, 'grad_norm': 6.065821170806885, 'learning_rate': 9.97863247863248e-07, 'epoch': 0.51}
{'loss': 5.6203, 'grad_norm': 5.149345397949219, 'learning_rate': 9.943019943019943e-07, 'epoch': 0.53}
{'loss': 5.5938, 'grad_norm': 8.032283782958984, 'learning_rate': 9.907407407407406e-07, 'epoch': 0.54}
{'loss': 5.5687, 'grad_norm': 6.938916206359863, 'learning_rate': 9.871794871794872e-07, 'epoch': 0.56}
